period;bnp_tillvaxt_pct;inflation_pct;arbetsloshet_pct;investeringar_pct;reporate_pct
2010Q1;2,2;0,6666666666666666;9,6;-4,3;0,25
2010Q2;5,1;0,9;9,7;4,0;0,25
2010Q3;7,1;1,1333333333333333;8,1;11,8;0,5492424242424242
2010Q4;7,3;1,8666666666666665;7,8;11,6;0,953125
2011Q1;6,4;2,6333333333333333;8,6;10,7;1,376984126984127
2011Q2;4,2;3,233333333333333;8,7;10,4;1,6833333333333333
2011Q3;3,3;3,3000000000000003;7,2;4,8;1,9886363636363635
2011Q4;-0,7;2,6666666666666665;7,4;-1,2;1,97265625
2012Q1;-0,3;1,7666666666666666;8,4;4,9;1,640625
2012Q2;-0,3;1,0999999999999999;8,6;-4,6;1,5
2012Q3;-0,6;0,6333333333333333;7,7;-6,3;1,45
2012Q4;1,1;0,10000000000000002;7,9;2,4;1,2298387096774193
2013Q1;0,7;-0,03333333333333333;8,9;-6,5;1,0
2013Q2;0,5;-0,26666666666666666;8,9;0,7;1,0
2013Q3;0,5;0,10000000000000002;7,5;5,8;1,0
2013Q4;2,7;0,03333333333333333;7,7;0,0;0,9758064516129032
2014Q1;2,3;-0,3333333333333333;8,8;11,3;0,75
2014Q2;2,8;0,03333333333333333;8,8;5,2;0,75
2014Q3;2,5;-0,16666666666666666;7,4;3,1;0,29545454545454547
2014Q4;2,2;-0,19999999999999998;7,5;3,7;0,08064516129032258
2015Q1;2,8;0,03333333333333333;8,5;4,7;-0,06048387096774194
2015Q2;4,8;-0,16666666666666666;8,5;7,3;-0,25
2015Q3;3,8;-0,06666666666666667;6,7;5,4;-0,3424242424242424
2015Q4;4,8;0,10000000000000002;6,8;9,5;-0,35
2016Q1;2,9;0,6666666666666666;7,8;3,1;-0,42377049180327864
2016Q2;1,3;0,7999999999999999;7,6;6,3;-0,5
2016Q3;1,7;1,0333333333333334;6,5;7,0;-0,5
2016Q4;1,4;1,4333333333333333;6,6;3,5;-0,5
2017Q1;2,7;1,5;7,4;7,5;-0,5
2017Q2;2,0;1,8;7,4;2,5;-0,5
2017Q3;1,9;2,1666666666666665;6,4;6,2;-0,5
2017Q4;2,2;1,7666666666666666;6,2;1,4;-0,5
2018Q1;1,8;1,7;6,8;5,4;-0,5
2018Q2;1,9;1,9000000000000001;7,0;1,5;-0,5
2018Q3;1,5;2,1;6,1;-2,6;-0,5
2018Q4;2,4;2,1;6,1;1,0;-0,5
2019Q1;2,1;1,8999999999999997;7,4;-3,8;-0,2698412698412698
2019Q2;2,7;2,0333333333333337;7,2;-1,5;-0,25
2019Q3;2,6;1,5333333333333332;6,7;-2,3;-0,25
2019Q4;3,1;1,7333333333333334;6,6;6,7;-0,25
2020Q1;2,8;0,9666666666666667;7,9;6,9;-0,011904761904761904
2020Q2;-7,7;0,09999999999999998;9,4;-0,9;0,0
2020Q3;-1,6;0,5666666666666668;9,0;5,7;0,0
2020Q4;-2,0;0,3333333333333333;8,3;-2,9;0,0
2021Q1;0,7;1,5666666666666667;9,9;4,1;0,0
2021Q2;10,6;1,7666666666666668;9,9;11,1;0,0
2021Q3;4,2;2,0;8,3;5,9;0,0
2021Q4;4,9;3,3333333333333335;7,5;5,8;0,0
2022Q1;2,2;4,666666666666667;8,1;-0,1;0,0
2022Q2;2,0;7,466666666666666;8,2;0,3;0,1625
2022Q3;2,1;9,700000000000001;6,5;2,1;0,8484848484848485
2022Q4;-1,0;11,566666666666668;6,8;-1,2;2,0078125
2023Q1;0,7;11,433333333333332;7,8;-0,3;2,7578125
2023Q2;-1,1;9,833333333333334;8,1;-1,9;3,3389830508474576
2023Q3;0,3;7,766666666666667;7,2;0,1;3,753846153846154
2023Q4;0,4;5,566666666666666;7,4;2,5;4,0
2024Q1;0,1;4,666666666666667;8,7;-0,9;4,0
2024Q2;0,6;3,4;8,9;-0,9;3,870833333333333
2024Q3;0,8;2,033333333333333;7,8;0,9;3,640151515151515
2024Q4;2,5;1,3333333333333333;7,9;1,7;3,004032258064516
2025Q1;0,4;0,9;9,3;-1,9;2,3548387096774195
2025Q2;2,3;0,39999999999999997;9,3;3,8;2,233050847457627
2025Q3;2,6;0,9;8,2;1,0;2,0
2025Q4;2,1;0,5;8,5;4,2;1,75
